ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,1,2013-01-08,29,558,100003,500003,700001,2,1,0
2,3,1,2013-07-12,29,558,100002,500002,700001,3,1,0
3,4,1,2013-11-11,29,558,100003,500003,700001,4,1,0
4,4,1,2013-11-11,29,558,100003,500003,700001,5,1,0
5,6,1,2013-05-13,29,558,100003,500003,700001,7,1,0
6,8,1,2013-03-14,29,558,100001,500001,700001,10,1,0
7,13,1,2013-11-28,29,558,100002,500002,700001,16,1,0
8,15,1,2013-04-09,29,558,100003,500003,700001,18,1,0
9,15,1,2013-04-09,29,558,100003,500003,700001,19,1,0
10,17,1,2013-12-14,29,558,100001,500001,700001,22,1,0
11,17,1,2013-12-14,29,558,100001,500001,700001,23,1,0
12,20,1,2013-04-06,29,558,100001,500001,700001,27,1,0
13,21,1,2013-03-28,29,579,100004,500004,700002,28,1,0
14,24,1,2013-07-22,29,579,100004,500004,700002,32,1,0
15,24,1,2013-07-22,29,579,100004,500004,700002,33,1,0
16,24,1,2013-07-22,29,579,100004,500004,700002,34,1,0
17,25,1,2013-02-09,29,579,100004,500004,700002,35,1,0
18,26,1,2013-12-16,29,579,100006,500006,700002,36,1,0
19,28,1,2013-08-04,29,579,100006,500006,700002,38,1,0
20,28,1,2013-08-04,29,579,100006,500006,700002,39,1,0
21,29,1,2013-10-08,29,579,100005,500005,700002,40,1,0
22,31,1,2013-08-04,29,579,100006,500006,700002,42,1,0
23,31,1,2013-08-04,29,579,100006,500006,700002,43,1,0
24,37,1,2013-01-05,29,579,100004,500004,700002,52,1,0
25,37,1,2013-01-05,29,579,100004,500004,700002,53,1,0
26,38,1,2013-09-13,29,579,100005,500005,700002,54,1,0
27,38,1,2013-09-13,29,579,100005,500005,700002,55,1,0
28,40,1,2013-03-03,29,579,100005,500005,700002,58,1,0
29,41,1,2013-07-28,29,555,100009,500009,700003,59,1,0
30,43,1,2013-05-02,29,555,100008,500008,700003,62,1,0
31,46,1,2013-01-02,29,555,100008,500008,700003,67,1,0
32,46,1,2013-01-02,29,555,100008,500008,700003,68,1,0
33,48,1,2013-02-24,29,555,100007,500007,700003,71,1,0
34,49,1,2013-05-19,29,555,100009,500009,700003,72,1,0
35,50,1,2013-10-22,29,555,100007,500007,700003,73,1,0
36,53,1,2013-06-06,29,555,100007,500007,700003,77,1,0
37,54,1,2013-04-04,29,555,100009,500009,700003,78,1,0
38,58,1,2013-09-03,29,555,100009,500009,700003,83,1,0
39,60,1,2013-04-10,29,555,100008,500008,700003,85,1,0
40,61,1,2013-08-20,29,580,100010,500010,700004,86,1,0
41,61,1,2013-08-20,29,580,100010,500010,700004,87,1,0
42,62,1,2013-05-24,29,580,100011,500011,700004,88,1,0
43,65,1,2013-08-12,29,580,100011,500011,700004,92,1,0
44,69,1,2013-02-05,29,580,100011,500011,700004,97,1,0
45,78,1,2013-07-23,29,580,100011,500011,700004,111,1,0
46,80,1,2013-09-13,29,580,100010,500010,700004,113,1,0
47,83,1,2013-12-04,29,556,100015,500015,700005,116,1,0
48,84,1,2013-04-19,29,556,100015,500015,700005,117,1,0
49,85,1,2013-12-07,29,556,100014,500014,700005,118,1,0
50,85,1,2013-12-07,29,556,100014,500014,700005,119,1,0
51,86,1,2013-07-17,29,556,100013,500013,700005,120,1,0
52,87,1,2013-11-14,29,556,100013,500013,700005,121,1,0
53,92,1,2013-08-15,29,556,100014,500014,700005,129,1,0
54,94,1,2013-02-27,29,556,100013,500013,700005,131,1,0
55,95,1,2013-05-01,29,556,100015,500015,700005,132,1,0
56,97,1,2013-04-07,29,556,100015,500015,700005,135,1,0
57,99,1,2013-05-26,29,556,100014,500014,700005,138,1,0
58,104,1,2013-05-11,29,559,100018,500018,700006,145,1,0
59,108,1,2013-08-05,29,559,100017,500017,700006,150,1,0
60,109,1,2013-02-19,29,559,100017,500017,700006,151,1,0
61,109,1,2013-02-19,29,559,100017,500017,700006,152,1,0
62,109,1,2013-02-19,29,559,100017,500017,700006,153,1,0
63,110,1,2013-12-19,29,559,100016,500016,700006,154,1,0
64,113,1,2013-01-02,29,559,100017,500017,700006,157,1,0
65,113,1,2013-01-02,29,559,100017,500017,700006,158,1,0
66,113,1,2013-01-02,29,559,100017,500017,700006,159,1,0
67,114,1,2013-02-01,29,559,100018,500018,700006,160,1,0
68,114,1,2013-02-01,29,559,100018,500018,700006,161,1,0
69,115,1,2013-11-05,29,559,100016,500016,700006,162,1,0
70,117,1,2013-03-13,29,559,100017,500017,700006,164,1,0
71,118,1,2013-04-26,29,559,100017,500017,700006,165,1,0
72,122,1,2013-09-05,29,560,100019,500019,700007,170,1,0
73,123,1,2013-03-15,29,560,100019,500019,700007,171,1,0
74,123,1,2013-03-15,29,560,100019,500019,700007,172,1,0
75,124,1,2013-05-27,29,560,100019,500019,700007,173,1,0
76,124,1,2013-05-27,29,560,100019,500019,700007,174,1,0
77,127,1,2013-06-16,29,560,100020,500020,700007,180,1,0
78,127,1,2013-06-16,29,560,100020,500020,700007,181,1,0
79,127,1,2013-06-16,29,560,100020,500020,700007,182,1,0
80,130,1,2013-06-02,29,560,100020,500020,700007,185,1,0
81,133,1,2013-04-08,29,560,100020,500020,700007,189,1,0
82,135,1,2013-11-10,29,560,100021,500021,700007,191,1,0
83,139,1,2013-10-19,29,560,100019,500019,700007,197,1,0
84,139,1,2013-10-19,29,560,100019,500019,700007,198,1,0
85,143,1,2013-03-17,29,561,100024,500024,700008,203,1,0
86,144,1,2013-11-12,29,561,100023,500023,700008,204,1,0
87,150,1,2013-05-20,29,561,100022,500022,700008,212,1,0
88,151,1,2013-01-01,29,561,100023,500023,700008,213,1,0
89,154,1,2013-12-28,29,561,100024,500024,700008,216,1,0
90,154,1,2013-12-28,29,561,100024,500024,700008,217,1,0
91,156,1,2013-08-24,29,561,100023,500023,700008,219,1,0
92,157,1,2013-10-16,29,561,100024,500024,700008,220,1,0
93,161,1,2013-04-25,29,565,100027,500027,700009,226,1,0
94,162,1,2013-11-20,29,565,100026,500026,700009,227,1,0
95,163,1,2013-06-10,29,565,100027,500027,700009,228,1,0
96,164,1,2013-01-10,29,565,100027,500027,700009,229,1,0
97,164,1,2013-01-10,29,565,100027,500027,700009,230,1,0
98,164,1,2013-01-10,29,565,100027,500027,700009,231,1,0
99,165,1,2013-05-18,29,565,100025,500025,700009,232,1,0
100,165,1,2013-05-18,29,565,100025,500025,700009,233,1,0
101,167,1,2013-12-21,29,565,100025,500025,700009,235,1,0
102,167,1,2013-12-21,29,565,100025,500025,700009,236,1,0
103,170,1,2013-08-15,29,565,100027,500027,700009,240,1,0
104,170,1,2013-08-15,29,565,100027,500027,700009,241,1,0
105,171,1,2013-10-19,29,565,100027,500027,700009,242,1,0
106,172,1,2013-10-22,29,565,100025,500025,700009,243,1,0
107,177,1,2013-05-06,29,565,100027,500027,700009,249,1,0
108,177,1,2013-05-06,29,565,100027,500027,700009,250,1,0
109,177,1,2013-05-06,29,565,100027,500027,700009,251,1,0
110,179,1,2013-07-05,29,565,100027,500027,700009,254,1,0
111,180,1,2013-05-09,29,565,100026,500026,700009,255,1,0
112,181,1,2013-06-22,29,562,100029,500029,700010,256,1,0
113,181,1,2013-06-22,29,562,100029,500029,700010,257,1,0
114,183,1,2013-04-26,29,562,100028,500028,700010,260,1,0
115,183,1,2013-04-26,29,562,100028,500028,700010,261,1,0
116,183,1,2013-04-26,29,562,100028,500028,700010,262,1,0
117,184,1,2013-04-28,29,562,100028,500028,700010,263,1,0
118,188,1,2013-11-04,29,562,100029,500029,700010,268,1,0
119,188,1,2013-11-04,29,562,100029,500029,700010,269,1,0
120,190,1,2013-08-25,29,562,100030,500030,700010,271,1,0
121,190,1,2013-08-25,29,562,100030,500030,700010,272,1,0
122,191,1,2013-10-05,29,562,100028,500028,700010,273,1,0
123,192,1,2013-09-15,29,562,100030,500030,700010,274,1,0
124,195,1,2013-08-20,29,562,100029,500029,700010,279,1,0
125,196,1,2013-08-23,29,562,100029,500029,700010,280,1,0
126,196,1,2013-08-23,29,562,100029,500029,700010,281,1,0
127,199,1,2013-06-18,29,562,100028,500028,700010,286,1,0
128,202,1,2013-06-11,29,563,100033,500033,700011,289,1,0
129,208,1,2013-08-20,29,563,100032,500032,700011,297,1,0
130,212,1,2013-10-05,29,563,100031,500031,700011,302,1,0
131,212,1,2013-10-05,29,563,100031,500031,700011,303,1,0
132,217,1,2013-11-02,29,563,100032,500032,700011,311,1,0
133,217,1,2013-11-02,29,563,100032,500032,700011,312,1,0
134,217,1,2013-11-02,29,563,100032,500032,700011,313,1,0
135,220,1,2013-08-28,29,563,100032,500032,700011,317,1,0
136,221,1,2013-10-20,29,564,100035,500035,700012,318,1,0
137,221,1,2013-10-20,29,564,100035,500035,700012,319,1,0
138,221,1,2013-10-20,29,564,100035,500035,700012,320,1,0
139,222,1,2013-05-26,29,564,100034,500034,700012,321,1,0
140,225,1,2013-08-17,29,564,100035,500035,700012,324,1,0
141,225,1,2013-08-17,29,564,100035,500035,700012,325,1,0
142,227,1,2013-05-04,29,564,100035,500035,700012,327,1,0
143,228,1,2013-11-02,29,564,100034,500034,700012,328,1,0
144,230,1,2013-01-03,29,564,100035,500035,700012,332,1,0
145,230,1,2013-01-03,29,564,100035,500035,700012,333,1,0
146,231,1,2013-03-16,29,564,100036,500036,700012,334,1,0
147,234,1,2013-11-11,29,564,100036,500036,700012,337,1,0
148,234,1,2013-11-11,29,564,100036,500036,700012,338,1,0
149,235,1,2013-03-03,29,564,100035,500035,700012,339,1,0
150,236,1,2013-10-12,29,564,100035,500035,700012,340,1,0
151,237,1,2013-01-11,29,564,100036,500036,700012,341,1,0
152,237,1,2013-01-11,29,564,100036,500036,700012,342,1,0
153,238,1,2013-03-19,29,564,100036,500036,700012,343,1,0
154,244,1,2013-06-11,29,566,100039,500039,700013,350,1,0
155,244,1,2013-06-11,29,566,100039,500039,700013,351,1,0
156,250,1,2013-10-12,29,566,100039,500039,700013,361,1,0
157,251,1,2013-12-02,29,566,100038,500038,700013,362,1,0
158,253,1,2013-11-20,29,566,100039,500039,700013,365,1,0
159,253,1,2013-11-20,29,566,100039,500039,700013,366,1,0
160,255,1,2013-11-10,29,566,100037,500037,700013,369,1,0
161,256,1,2013-12-20,29,566,100038,500038,700013,370,1,0
162,259,1,2013-05-04,29,566,100037,500037,700013,374,1,0
163,261,1,2013-12-16,29,567,100041,500041,700014,376,1,0
164,264,1,2013-02-01,29,567,100042,500042,700014,379,1,0
165,268,1,2013-06-25,29,567,100040,500040,700014,384,1,0
166,271,1,2013-03-22,29,567,100042,500042,700014,387,1,0
167,272,1,2013-12-04,29,567,100042,500042,700014,388,1,0
168,273,1,2013-06-16,29,567,100042,500042,700014,389,1,0
169,276,1,2013-11-25,29,567,100040,500040,700014,393,1,0
170,276,1,2013-11-25,29,567,100040,500040,700014,394,1,0
171,279,1,2013-05-19,29,567,100040,500040,700014,397,1,0
172,281,1,2013-04-26,29,568,100043,500043,700015,399,1,0
173,282,1,2013-02-14,29,568,100045,500045,700015,400,1,0
174,286,1,2013-12-09,29,568,100043,500043,700015,404,1,0
175,286,1,2013-12-09,29,568,100043,500043,700015,405,1,0
176,287,1,2013-10-22,29,568,100045,500045,700015,406,1,0
177,288,1,2013-01-18,29,568,100045,500045,700015,407,1,0
178,288,1,2013-01-18,29,568,100045,500045,700015,408,1,0
179,299,1,2013-05-27,29,568,100043,500043,700015,423,1,0
180,299,1,2013-05-27,29,568,100043,500043,700015,424,1,0
181,305,1,2013-09-09,29,569,100046,500046,700016,432,1,0
182,307,1,2013-11-08,29,569,100047,500047,700016,435,1,0
183,308,1,2013-11-05,29,569,100046,500046,700016,436,1,0
184,308,1,2013-11-05,29,569,100046,500046,700016,437,1,0
185,308,1,2013-11-05,29,569,100046,500046,700016,438,1,0
186,309,1,2013-11-15,29,569,100048,500048,700016,439,1,0
187,311,1,2013-10-23,29,569,100048,500048,700016,441,1,0
188,313,1,2013-12-15,29,569,100048,500048,700016,444,1,0
189,314,1,2013-08-01,29,569,100047,500047,700016,445,1,0
190,314,1,2013-08-01,29,569,100047,500047,700016,446,1,0
191,315,1,2013-12-27,29,569,100047,500047,700016,447,1,0
192,315,1,2013-12-27,29,569,100047,500047,700016,448,1,0
193,316,1,2013-12-10,29,569,100046,500046,700016,449,1,0
194,317,1,2013-09-20,29,569,100048,500048,700016,450,1,0
195,317,1,2013-09-20,29,569,100048,500048,700016,451,1,0
