CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID
1,405585047201300001,201300001,2013-11-27,2013-11-27 11:00:00,2013-11-27 12:00:00,2013-11-27 11:00:00,17.87761,77.33094,Other reported at UNIT-KA-BIDAR-02,500002,100002,1,1,1,1,1,700001
2,105584038201300002,201300002,2013-01-08,2013-01-08 12:00:00,2013-01-08 13:00:00,2013-01-08 12:00:00,18.10538,76.95505,Other reported at UNIT-KA-BIDAR-03,500003,100003,2,1,1,1,2,700001
3,305585047201300003,201300003,2013-07-12,2013-07-12 21:00:00,2013-07-12 22:00:00,2013-07-12 21:00:00,18.08547,77.75972,Other reported at UNIT-KA-BIDAR-02,500002,100002,3,1,1,1,2,700001
4,105584038201300004,201300004,2013-11-11,2013-11-11 19:00:00,2013-11-11 20:00:00,2013-11-11 19:00:00,18.10985,77.32565,Other reported at UNIT-KA-BIDAR-03,500003,100003,2,1,1,1,2,700001
5,105585047201300005,201300005,2013-02-12,2013-02-12 15:00:00,2013-02-12 16:00:00,2013-02-12 15:00:00,18.19774,77.00691,Other reported at UNIT-KA-BIDAR-02,500002,100002,2,1,1,1,1,700001
6,305584038201300006,201300006,2013-05-13,2013-05-13 09:00:00,2013-05-13 10:00:00,2013-05-13 09:00:00,18.21093,77.20837,Other reported at UNIT-KA-BIDAR-03,500003,100003,3,1,1,1,2,700001
7,105584038201300007,201300007,2013-11-16,2013-11-16 10:00:00,2013-11-16 11:00:00,2013-11-16 10:00:00,17.99822,77.29853,Kidnap Abduct reported at UNIT-KA-BIDAR-03,500003,100003,2,2,2,2,3,700001
8,105587635201300008,201300008,2013-03-14,2013-03-14 16:00:00,2013-03-14 17:00:00,2013-03-14 16:00:00,18.0516,77.37841,Other reported at UNIT-KA-BIDAR-01,500001,100001,2,1,1,1,4,700001
9,305585047201300009,201300009,2013-12-26,2013-12-26 14:00:00,2013-12-26 15:00:00,2013-12-26 14:00:00,17.73998,77.12799,Other reported at UNIT-KA-BIDAR-02,500002,100002,3,1,1,1,1,700001
10,105584038201300010,201300010,2013-03-03,2013-03-03 05:00:00,2013-03-03 06:00:00,2013-03-03 05:00:00,17.7808,77.08051,Other reported at UNIT-KA-BIDAR-03,500003,100003,2,1,1,1,1,700001
11,105587635201300011,201300011,2013-05-15,2013-05-15 18:00:00,2013-05-15 19:00:00,2013-05-15 18:00:00,17.87133,77.4598,Grievous Hurt reported at UNIT-KA-BIDAR-01,500001,100001,2,1,2,3,1,700001
12,105585047201300012,201300012,2013-12-10,2013-12-10 20:00:00,2013-12-10 21:00:00,2013-12-10 20:00:00,17.61834,76.91041,Grievous Hurt reported at UNIT-KA-BIDAR-02,500002,100002,2,1,2,3,5,700001
13,105585047201300013,201300013,2013-11-28,2013-11-28 09:00:00,2013-11-28 10:00:00,2013-11-28 09:00:00,17.96297,77.39999,Grievous Hurt reported at UNIT-KA-BIDAR-02,500002,100002,2,1,2,3,4,700001
14,405587635201300014,201300014,2013-06-19,2013-06-19 16:00:00,2013-06-19 17:00:00,2013-06-19 16:00:00,17.81879,77.16047,Theft reported at UNIT-KA-BIDAR-01,500001,100001,1,1,3,4,1,700001
15,405584038201300015,201300015,2013-04-09,2013-04-09 21:00:00,2013-04-09 22:00:00,2013-04-09 21:00:00,18.11356,77.42476,Grievous Hurt reported at UNIT-KA-BIDAR-03,500003,100003,1,1,2,3,2,700001
16,305585047201300016,201300016,2013-07-22,2013-07-22 18:00:00,2013-07-22 19:00:00,2013-07-22 18:00:00,18.17618,77.19199,Burglary reported at UNIT-KA-BIDAR-02,500002,100002,3,1,3,5,3,700001
17,405587635201300017,201300017,2013-12-14,2013-12-14 10:00:00,2013-12-14 11:00:00,2013-12-14 10:00:00,18.34392,77.21931,Theft reported at UNIT-KA-BIDAR-01,500001,100001,1,1,3,4,2,700001
18,105584038201300018,201300018,2013-11-24,2013-11-24 22:00:00,2013-11-24 23:00:00,2013-11-24 22:00:00,18.16047,77.08857,Other reported at UNIT-KA-BIDAR-03,500003,100003,2,1,1,1,1,700001
19,105584038201300019,201300019,2013-06-03,2013-06-03 18:00:00,2013-06-03 19:00:00,2013-06-03 18:00:00,18.09045,76.97286,Other reported at UNIT-KA-BIDAR-03,500003,100003,2,1,1,1,5,700001
20,105587635201300020,201300020,2013-04-06,2013-04-06 19:00:00,2013-04-06 20:00:00,2013-04-06 19:00:00,18.06156,76.98268,Riots reported at UNIT-KA-BIDAR-01,500001,100001,2,1,4,6,2,700001
21,105794236201300021,201300021,2013-03-28,2013-03-28 18:00:00,2013-03-28 19:00:00,2013-03-28 18:00:00,17.18255,76.84139,Other reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,1,1,2,700002
22,805794209201300022,201300022,2013-02-25,2013-02-25 10:00:00,2013-02-25 11:00:00,2013-02-25 10:00:00,17.27669,76.81698,Cruelty Husband reported at UNIT-KA-KALABURAGI-02,500005,100005,4,1,5,7,1,700002
23,105794236201300023,201300023,2013-02-19,2013-02-19 22:00:00,2013-02-19 23:00:00,2013-02-19 22:00:00,17.36902,76.85137,Other reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,1,1,5,700002
24,805794236201300024,201300024,2013-07-22,2013-07-22 12:00:00,2013-07-22 13:00:00,2013-07-22 12:00:00,17.10189,76.96718,Burglary reported at UNIT-KA-KALABURAGI-01,500004,100004,4,1,3,5,2,700002
25,105794236201300025,201300025,2013-02-09,2013-02-09 20:00:00,2013-02-09 21:00:00,2013-02-09 20:00:00,17.3205,76.74814,Other reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,1,1,2,700002
26,105796122201300026,201300026,2013-12-16,2013-12-16 19:00:00,2013-12-16 20:00:00,2013-12-16 19:00:00,17.11936,76.68161,Riots reported at UNIT-KA-KALABURAGI-03,500006,100006,2,1,4,6,4,700002
27,105794236201300027,201300027,2013-12-06,2013-12-06 19:00:00,2013-12-06 20:00:00,2013-12-06 19:00:00,17.32658,77.07376,Burglary reported at UNIT-KA-KALABURAGI-01,500004,100004,2,1,3,5,1,700002
28,805796122201300028,201300028,2013-08-04,2013-08-04 21:00:00,2013-08-04 22:00:00,2013-08-04 21:00:00,17.37814,76.67922,Riots reported at UNIT-KA-KALABURAGI-03,500006,100006,4,1,4,6,2,700002
29,105794209201300029,201300029,2013-10-08,2013-10-08 17:00:00,2013-10-08 18:00:00,2013-10-08 17:00:00,17.25762,76.67463,Riots reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,4,6,4,700002
30,105794209201300030,201300030,2013-05-23,2013-05-23 01:00:00,2013-05-23 02:00:00,2013-05-23 01:00:00,17.16774,77.13952,Grievous Hurt reported at UNIT-KA-KALABURAGI-02,500005,100005,2,1,2,3,1,700002
31,305796122201300031,201300031,2013-08-04,2013-08-04 22:00:00,2013-08-04 23:00:00,2013-08-04 22:00:00,17.09884,76.85576,Cheating reported at UNIT-KA-KALABURAGI-03,500006,100006,3,1,6,8,2,700002
