CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2013-01-10 10:00:00,A,
2,3,2013-07-14 10:00:00,A,
3,4,2013-11-13 10:00:00,C,
4,6,2013-05-15 10:00:00,A,
5,7,2013-11-18 10:00:00,B,
6,8,2013-03-16 10:00:00,A,
7,13,2013-11-28 10:00:00,B,
8,15,2013-04-11 10:00:00,A,
9,16,2013-07-24 10:00:00,A,
10,17,2013-12-16 10:00:00,A,
11,20,2013-04-08 10:00:00,A,
12,21,2013-03-28 10:00:00,A,
13,24,2013-07-24 10:00:00,B,
14,25,2013-02-11 10:00:00,A,
15,26,2013-12-18 10:00:00,A,
16,28,2013-08-06 10:00:00,A,
17,29,2013-10-10 10:00:00,A,
18,31,2013-08-06 10:00:00,A,
19,37,2013-01-07 10:00:00,B,
20,38,2013-09-15 10:00:00,A,
21,40,2013-03-05 10:00:00,A,
22,41,2013-07-28 10:00:00,A,
23,43,2013-05-04 10:00:00,A,
24,46,2013-01-04 10:00:00,A,
25,48,2013-02-26 10:00:00,A,
26,49,2013-05-21 10:00:00,A,
27,50,2013-10-24 10:00:00,A,
28,53,2013-06-08 10:00:00,C,
29,54,2013-04-06 10:00:00,A,
30,58,2013-09-05 10:00:00,A,
31,60,2013-04-12 10:00:00,A,
32,61,2013-08-22 10:00:00,A,
33,62,2013-05-26 10:00:00,A,
34,64,2013-12-17 10:00:00,B,
35,65,2013-08-14 10:00:00,A,
36,69,2013-02-07 10:00:00,A,
37,72,2013-12-13 10:00:00,A,
38,78,2013-07-25 10:00:00,A,
39,80,2013-09-15 10:00:00,A,
40,83,2013-12-06 10:00:00,A,
41,84,2013-04-21 10:00:00,A,
42,85,2013-12-09 10:00:00,A,
43,86,2013-07-19 10:00:00,A,
44,87,2013-11-16 10:00:00,A,
45,89,2013-07-20 10:00:00,C,
46,92,2013-08-17 10:00:00,B,
47,94,2013-02-28 10:00:00,B,
48,95,2013-05-03 10:00:00,C,
49,97,2013-04-09 10:00:00,A,
50,99,2013-05-28 10:00:00,C,
51,102,2013-10-18 10:00:00,C,
52,104,2013-05-13 10:00:00,A,
53,105,2013-03-20 10:00:00,B,
54,108,2013-08-07 10:00:00,A,
55,109,2013-02-21 10:00:00,A,
56,110,2013-12-21 10:00:00,A,
57,111,2013-03-27 10:00:00,C,
58,112,2013-05-25 10:00:00,B,
59,113,2013-01-04 10:00:00,A,
60,114,2013-02-03 10:00:00,A,
61,115,2013-11-07 10:00:00,A,
62,117,2013-03-15 10:00:00,A,
63,118,2013-04-28 10:00:00,A,
64,120,2013-07-11 10:00:00,B,
65,122,2013-09-07 10:00:00,A,
66,123,2013-03-17 10:00:00,C,
67,124,2013-05-28 10:00:00,A,
68,127,2013-06-18 10:00:00,A,
69,130,2013-06-04 10:00:00,A,
70,133,2013-04-10 10:00:00,A,
71,134,2013-03-15 10:00:00,C,
72,135,2013-11-12 10:00:00,A,
73,137,2013-02-24 10:00:00,B,
74,139,2013-10-21 10:00:00,A,
75,143,2013-03-19 10:00:00,B,
76,144,2013-11-14 10:00:00,B,
77,150,2013-05-22 10:00:00,A,
78,151,2013-01-03 10:00:00,A,
79,154,2013-12-28 10:00:00,A,
80,156,2013-08-26 10:00:00,A,
81,157,2013-10-18 10:00:00,A,
82,160,2013-12-20 10:00:00,B,
83,161,2013-04-27 10:00:00,C,
84,162,2013-11-22 10:00:00,A,
85,163,2013-06-12 10:00:00,C,
86,164,2013-01-12 10:00:00,C,
87,165,2013-05-20 10:00:00,A,
88,167,2013-12-23 10:00:00,A,
89,170,2013-08-17 10:00:00,A,
90,171,2013-10-21 10:00:00,A,
91,172,2013-10-24 10:00:00,A,
92,177,2013-05-08 10:00:00,A,
93,179,2013-07-07 10:00:00,A,
94,180,2013-05-11 10:00:00,A,
95,181,2013-06-24 10:00:00,A,
96,183,2013-04-28 10:00:00,A,
97,184,2013-04-28 10:00:00,B,
98,186,2013-03-20 10:00:00,B,
99,188,2013-11-06 10:00:00,A,
100,190,2013-08-27 10:00:00,C,
101,191,2013-10-07 10:00:00,A,
102,192,2013-09-17 10:00:00,A,
103,195,2013-08-22 10:00:00,A,
104,196,2013-08-25 10:00:00,C,
105,198,2013-10-06 10:00:00,B,
106,199,2013-06-20 10:00:00,A,
107,201,2013-04-19 10:00:00,B,
108,202,2013-06-13 10:00:00,A,
109,208,2013-08-22 10:00:00,A,
110,210,2013-11-15 10:00:00,A,
111,211,2013-06-23 10:00:00,B,
112,212,2013-10-07 10:00:00,A,
113,213,2013-10-08 10:00:00,A,
114,217,2013-11-04 10:00:00,A,
115,220,2013-08-28 10:00:00,A,
116,221,2013-10-22 10:00:00,A,
117,222,2013-05-28 10:00:00,A,
118,223,2013-09-13 10:00:00,A,
119,225,2013-08-19 10:00:00,B,
120,227,2013-05-06 10:00:00,A,
121,228,2013-11-04 10:00:00,A,
122,230,2013-01-05 10:00:00,A,
123,231,2013-03-18 10:00:00,A,
124,234,2013-11-13 10:00:00,A,
125,235,2013-03-05 10:00:00,B,
126,236,2013-10-14 10:00:00,A,
127,237,2013-01-13 10:00:00,C,
128,238,2013-03-21 10:00:00,A,
129,244,2013-06-13 10:00:00,C,
130,250,2013-10-14 10:00:00,A,
131,251,2013-12-04 10:00:00,A,
132,253,2013-11-22 10:00:00,A,
133,254,2013-10-03 10:00:00,C,
134,255,2013-11-12 10:00:00,A,
135,256,2013-12-22 10:00:00,A,
136,259,2013-05-06 10:00:00,A,
137,261,2013-12-18 10:00:00,A,
138,264,2013-02-03 10:00:00,A,
139,268,2013-06-27 10:00:00,A,
140,271,2013-03-24 10:00:00,C,
141,272,2013-12-06 10:00:00,A,
142,273,2013-06-18 10:00:00,A,
143,276,2013-11-27 10:00:00,A,
144,278,2013-10-15 10:00:00,B,
145,279,2013-05-21 10:00:00,A,
146,280,2013-11-13 10:00:00,B,
147,281,2013-04-28 10:00:00,A,
148,282,2013-02-16 10:00:00,A,
149,284,2013-12-14 10:00:00,B,
150,285,2013-04-28 10:00:00,C,
151,286,2013-12-11 10:00:00,B,
152,287,2013-10-24 10:00:00,B,
153,288,2013-01-20 10:00:00,C,
154,289,2013-08-06 10:00:00,C,
155,290,2013-02-03 10:00:00,B,
156,292,2013-07-07 10:00:00,B,
157,297,2013-05-18 10:00:00,C,
158,299,2013-05-28 10:00:00,A,
159,303,2013-12-25 10:00:00,C,
160,305,2013-09-11 10:00:00,A,
161,307,2013-11-10 10:00:00,A,
162,308,2013-11-07 10:00:00,A,
163,309,2013-11-17 10:00:00,A,
164,311,2013-10-25 10:00:00,A,
165,313,2013-12-17 10:00:00,A,
166,314,2013-08-03 10:00:00,A,
167,315,2013-12-28 10:00:00,A,
168,316,2013-12-12 10:00:00,A,
169,317,2013-09-22 10:00:00,C,
170,320,2013-03-28 10:00:00,B,
171,325,2013-04-09 10:00:00,A,
172,327,2013-10-27 10:00:00,A,
173,328,2013-04-21 10:00:00,A,
174,330,2013-02-17 10:00:00,C,
175,332,2013-04-12 10:00:00,A,
176,336,2013-06-05 10:00:00,A,
177,339,2013-06-21 10:00:00,A,
178,340,2013-01-08 10:00:00,A,
179,343,2013-04-25 10:00:00,B,
180,344,2013-11-20 10:00:00,B,
181,349,2013-03-15 10:00:00,B,
182,351,2013-09-28 10:00:00,A,
183,352,2013-06-15 10:00:00,A,
184,355,2013-01-06 10:00:00,A,
185,357,2013-11-12 10:00:00,A,
186,359,2013-05-18 10:00:00,A,
187,360,2013-10-24 10:00:00,A,
188,362,2013-06-28 10:00:00,A,
189,363,2013-05-19 10:00:00,C,
190,364,2013-12-15 10:00:00,A,
191,368,2013-10-18 10:00:00,A,
192,375,2013-05-04 10:00:00,A,
193,376,2013-02-23 10:00:00,A,
194,377,2013-07-25 10:00:00,C,
195,379,2013-03-15 10:00:00,A,
196,380,2013-08-24 10:00:00,A,
197,381,2013-01-15 10:00:00,A,
198,383,2013-06-26 10:00:00,A,
199,384,2013-05-26 10:00:00,A,
200,388,2013-01-20 10:00:00,B,
201,389,2013-04-26 10:00:00,A,
202,392,2013-01-06 10:00:00,A,
203,395,2013-07-26 10:00:00,A,
204,396,2013-07-05 10:00:00,A,
205,399,2013-07-28 10:00:00,A,
206,402,2013-01-07 10:00:00,A,
207,404,2013-01-26 10:00:00,A,
208,405,2013-06-05 10:00:00,A,
209,406,2013-01-27 10:00:00,A,
210,408,2013-12-26 10:00:00,A,
211,410,2013-07-12 10:00:00,A,
212,411,2013-07-09 10:00:00,A,
213,412,2013-07-24 10:00:00,A,
214,415,2013-05-05 10:00:00,A,
215,418,2013-04-11 10:00:00,A,
216,422,2013-07-11 10:00:00,A,
217,429,2013-08-28 10:00:00,A,
218,432,2013-10-06 10:00:00,C,
219,433,2013-10-06 10:00:00,A,
220,434,2013-08-14 10:00:00,A,
221,436,2013-06-07 10:00:00,A,
222,438,2013-02-03 10:00:00,A,
223,439,2013-11-17 10:00:00,A,
224,440,2013-07-15 10:00:00,A,
225,442,2013-01-15 10:00:00,A,
226,443,2013-09-21 10:00:00,A,
227,445,2013-09-09 10:00:00,A,
228,446,2013-01-10 10:00:00,A,
229,450,2013-12-11 10:00:00,B,
230,451,2013-07-12 10:00:00,A,
231,454,2013-04-21 10:00:00,B,
232,457,2013-01-21 10:00:00,A,
233,458,2013-03-04 10:00:00,B,
234,461,2013-01-16 10:00:00,A,
235,463,2013-11-18 10:00:00,A,
236,464,2013-08-28 10:00:00,A,
237,465,2013-01-12 10:00:00,A,
238,466,2013-09-15 10:00:00,C,
239,467,2013-12-06 10:00:00,B,
240,468,2013-10-28 10:00:00,A,
241,469,2013-08-26 10:00:00,A,
242,471,2013-12-18 10:00:00,A,
243,472,2013-09-16 10:00:00,A,
244,473,2013-04-13 10:00:00,A,
245,474,2013-01-09 10:00:00,A,
246,475,2013-09-21 10:00:00,B,
247,477,2013-05-25 10:00:00,A,
248,478,2013-01-21 10:00:00,A,
249,481,2013-12-19 10:00:00,C,
250,482,2013-01-09 10:00:00,C,
251,484,2013-11-28 10:00:00,B,
252,486,2013-08-21 10:00:00,B,
253,487,2013-10-27 10:00:00,A,
254,489,2013-11-26 10:00:00,A,
255,492,2013-09-14 10:00:00,A,
256,493,2013-08-14 10:00:00,A,
257,494,2013-09-06 10:00:00,B,
258,499,2013-01-27 10:00:00,A,
259,504,2013-03-19 10:00:00,A,
260,505,2013-03-21 10:00:00,B,
261,507,2013-09-28 10:00:00,A,
262,510,2013-11-12 10:00:00,A,
263,513,2013-06-28 10:00:00,A,
264,516,2013-12-25 10:00:00,A,
265,518,2013-04-27 10:00:00,A,
266,524,2013-10-09 10:00:00,A,
267,526,2013-08-28 10:00:00,A,
268,529,2013-12-07 10:00:00,A,
269,530,2013-02-04 10:00:00,A,
270,534,2013-10-28 10:00:00,A,
271,535,2013-01-14 10:00:00,B,
272,536,2013-12-17 10:00:00,A,
273,537,2013-02-13 10:00:00,C,
274,538,2013-06-03 10:00:00,A,
275,539,2013-06-20 10:00:00,B,
276,541,2013-06-10 10:00:00,A,
277,542,2013-12-08 10:00:00,A,
278,543,2013-03-28 10:00:00,A,
279,545,2013-08-03 10:00:00,A,
280,547,2013-04-12 10:00:00,A,
281,548,2013-01-04 10:00:00,A,
282,554,2013-01-28 10:00:00,A,
283,557,2013-06-09 10:00:00,A,
284,558,2013-06-17 10:00:00,A,
285,564,2013-02-03 10:00:00,C,
286,566,2013-04-11 10:00:00,C,
287,568,2013-02-21 10:00:00,A,
288,572,2013-06-23 10:00:00,A,
289,573,2013-02-19 10:00:00,C,
290,574,2013-08-13 10:00:00,A,
291,575,2013-07-05 10:00:00,B,
292,576,2013-06-07 10:00:00,A,
293,577,2013-02-07 10:00:00,B,
294,579,2013-01-09 10:00:00,A,
295,580,2013-06-11 10:00:00,A,
296,581,2013-01-23 10:00:00,A,
297,582,2013-01-04 10:00:00,C,
298,585,2013-12-08 10:00:00,C,
299,589,2013-01-15 10:00:00,A,
300,590,2013-07-06 10:00:00,A,
301,591,2013-10-13 10:00:00,A,
302,592,2013-03-07 10:00:00,A,
303,594,2013-04-07 10:00:00,A,
304,596,2013-08-22 10:00:00,B,
305,597,2013-09-22 10:00:00,B,
306,600,2013-12-11 10:00:00,A,
307,601,2013-07-09 10:00:00,A,
308,603,2013-12-12 10:00:00,C,
309,604,2013-06-11 10:00:00,A,
310,605,2013-07-11 10:00:00,A,
311,606,2013-02-05 10:00:00,A,
312,614,2013-03-24 10:00:00,B,
313,615,2013-01-16 10:00:00,A,
314,619,2013-08-06 10:00:00,A,
315,622,2013-10-09 10:00:00,A,
316,623,2013-10-21 10:00:00,A,
317,624,2013-01-05 10:00:00,A,
318,627,2013-11-22 10:00:00,A,
319,628,2013-07-09 10:00:00,A,
320,629,2013-11-14 10:00:00,C,
321,632,2013-09-21 10:00:00,A,
322,633,2013-06-15 10:00:00,A,
323,634,2013-01-24 10:00:00,A,
324,635,2013-04-22 10:00:00,A,
