CourtID,CourtName,DistrictID,StateID,Active
700001,Bidar District Court,558,29,1
700002,Kalaburagi District Court,579,29,1
700003,Belagavi District Court,555,29,1
700004,Yadgir District Court,580,29,1
700005,Bagalkote District Court,556,29,1
700006,Raichur District Court,559,29,1
700007,Koppal District Court,560,29,1
700008,Gadag District Court,561,29,1
700009,Ballari District Court,565,29,1
700010,Dharwad District Court,562,29,1
700011,Uttara Kannada District Court,563,29,1
700012,Haveri District Court,564,29,1
700013,Chitradurga District Court,566,29,1
700014,Davanagere District Court,567,29,1
700015,Shivamogga District Court,568,29,1
700016,Udupi District Court,569,29,1
700017,Chikkamagaluru District Court,570,29,1
700018,Chikkaballapura District Court,582,29,1
700019,Hassan District Court,574,29,1
700020,Kolar District Court,581,29,1
700021,Bengaluru Rural District Court,583,29,1
700022,Dakshina Kannada District Court,575,29,1
700023,Bengaluru Urban District Court,572,29,1
700024,Kodagu District Court,576,29,1
700025,Chamarajanagara District Court,578,29,1
700026,Tumakuru District Court,571,29,1
700027,Ramanagara District Court,584,29,1
700028,Mandya District Court,573,29,1
700029,Mysuru District Court,577,29,1
700030,Vijayapura District Court,557,29,1
