CaseMasterID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude
1,2013-11-27 11:00:00,2013-11-27 12:00:00,2013-11-27 11:00:00,17.87761,77.33094
2,2013-01-08 12:00:00,2013-01-08 13:00:00,2013-01-08 12:00:00,18.10538,76.95505
3,2013-07-12 21:00:00,2013-07-12 22:00:00,2013-07-12 21:00:00,18.08547,77.75972
4,2013-11-11 19:00:00,2013-11-11 20:00:00,2013-11-11 19:00:00,18.10985,77.32565
5,2013-02-12 15:00:00,2013-02-12 16:00:00,2013-02-12 15:00:00,18.19774,77.00691
6,2013-05-13 09:00:00,2013-05-13 10:00:00,2013-05-13 09:00:00,18.21093,77.20837
7,2013-11-16 10:00:00,2013-11-16 11:00:00,2013-11-16 10:00:00,17.99822,77.29853
8,2013-03-14 16:00:00,2013-03-14 17:00:00,2013-03-14 16:00:00,18.0516,77.37841
9,2013-12-26 14:00:00,2013-12-26 15:00:00,2013-12-26 14:00:00,17.73998,77.12799
10,2013-03-03 05:00:00,2013-03-03 06:00:00,2013-03-03 05:00:00,17.7808,77.08051
11,2013-05-15 18:00:00,2013-05-15 19:00:00,2013-05-15 18:00:00,17.87133,77.4598
12,2013-12-10 20:00:00,2013-12-10 21:00:00,2013-12-10 20:00:00,17.61834,76.91041
13,2013-11-28 09:00:00,2013-11-28 10:00:00,2013-11-28 09:00:00,17.96297,77.39999
14,2013-06-19 16:00:00,2013-06-19 17:00:00,2013-06-19 16:00:00,17.81879,77.16047
15,2013-04-09 21:00:00,2013-04-09 22:00:00,2013-04-09 21:00:00,18.11356,77.42476
16,2013-07-22 18:00:00,2013-07-22 19:00:00,2013-07-22 18:00:00,18.17618,77.19199
17,2013-12-14 10:00:00,2013-12-14 11:00:00,2013-12-14 10:00:00,18.34392,77.21931
18,2013-11-24 22:00:00,2013-11-24 23:00:00,2013-11-24 22:00:00,18.16047,77.08857
19,2013-06-03 18:00:00,2013-06-03 19:00:00,2013-06-03 18:00:00,18.09045,76.97286
20,2013-04-06 19:00:00,2013-04-06 20:00:00,2013-04-06 19:00:00,18.06156,76.98268
21,2013-03-28 18:00:00,2013-03-28 19:00:00,2013-03-28 18:00:00,17.18255,76.84139
22,2013-02-25 10:00:00,2013-02-25 11:00:00,2013-02-25 10:00:00,17.27669,76.81698
23,2013-02-19 22:00:00,2013-02-19 23:00:00,2013-02-19 22:00:00,17.36902,76.85137
24,2013-07-22 12:00:00,2013-07-22 13:00:00,2013-07-22 12:00:00,17.10189,76.96718
25,2013-02-09 20:00:00,2013-02-09 21:00:00,2013-02-09 20:00:00,17.3205,76.74814
26,2013-12-16 19:00:00,2013-12-16 20:00:00,2013-12-16 19:00:00,17.11936,76.68161
27,2013-12-06 19:00:00,2013-12-06 20:00:00,2013-12-06 19:00:00,17.32658,77.07376
28,2013-08-04 21:00:00,2013-08-04 22:00:00,2013-08-04 21:00:00,17.37814,76.67922
29,2013-10-08 17:00:00,2013-10-08 18:00:00,2013-10-08 17:00:00,17.25762,76.67463
30,2013-05-23 01:00:00,2013-05-23 02:00:00,2013-05-23 01:00:00,17.16774,77.13952
31,2013-08-04 22:00:00,2013-08-04 23:00:00,2013-08-04 22:00:00,17.09884,76.85576
32,2013-03-16 17:00:00,2013-03-16 18:00:00,2013-03-16 17:00:00,17.0608,76.80859
33,2013-09-02 20:00:00,2013-09-02 21:00:00,2013-09-02 20:00:00,17.09897,76.86808
34,2013-09-05 09:00:00,2013-09-05 10:00:00,2013-09-05 09:00:00,17.38682,76.75373
35,2013-03-16 18:00:00,2013-03-16 19:00:00,2013-03-16 18:00:00,17.35366,76.77455
36,2013-10-19 11:00:00,2013-10-19 12:00:00,2013-10-19 11:00:00,17.41803,76.82786
37,2013-01-05 15:00:00,2013-01-05 16:00:00,2013-01-05 15:00:00,17.01877,76.82606
38,2013-09-13 20:00:00,2013-09-13 21:00:00,2013-09-13 20:00:00,17.44784,76.7653
39,2013-04-17 14:00:00,2013-04-17 15:00:00,2013-04-17 14:00:00,17.02637,76.95623
40,2013-03-03 18:00:00,2013-03-03 19:00:00,2013-03-03 18:00:00,17.09489,76.88189
41,2013-07-28 18:00:00,2013-07-28 19:00:00,2013-07-28 18:00:00,16.23953,74.61583
42,2013-08-23 03:00:00,2013-08-23 04:00:00,2013-08-23 03:00:00,16.13539,74.91481
43,2013-05-02 22:00:00,2013-05-02 23:00:00,2013-05-02 22:00:00,16.14714,74.65543
44,2013-03-26 10:00:00,2013-03-26 11:00:00,2013-03-26 10:00:00,16.13275,74.73582
45,2013-04-19 00:00:00,2013-04-19 01:00:00,2013-04-19 00:00:00,16.14391,74.84819
46,2013-01-02 15:00:00,2013-01-02 16:00:00,2013-01-02 15:00:00,16.49836,74.75688
47,2013-07-04 16:00:00,2013-07-04 17:00:00,2013-07-04 16:00:00,16.20928,74.68363
48,2013-02-24 06:00:00,2013-02-24 07:00:00,2013-02-24 06:00:00,16.16761,74.46794
49,2013-05-19 13:00:00,2013-05-19 14:00:00,2013-05-19 13:00:00,16.21346,74.92715
50,2013-10-22 21:00:00,2013-10-22 22:00:00,2013-10-22 21:00:00,16.11632,74.8113
51,2013-08-20 18:00:00,2013-08-20 19:00:00,2013-08-20 18:00:00,16.06875,74.80515
52,2013-02-01 11:00:00,2013-02-01 12:00:00,2013-02-01 11:00:00,16.01838,74.76242
53,2013-06-06 14:00:00,2013-06-06 15:00:00,2013-06-06 14:00:00,16.25854,74.54906
54,2013-04-04 20:00:00,2013-04-04 21:00:00,2013-04-04 20:00:00,16.25243,74.84403
55,2013-06-17 17:00:00,2013-06-17 18:00:00,2013-06-17 17:00:00,16.34726,74.83967
56,2013-06-23 15:00:00,2013-06-23 16:00:00,2013-06-23 15:00:00,16.38718,74.87619
57,2013-10-28 20:00:00,2013-10-28 21:00:00,2013-10-28 20:00:00,16.22683,74.8131
58,2013-09-03 23:00:00,2013-09-03 23:00:00,2013-09-03 23:00:00,16.08613,74.6263
59,2013-01-22 21:00:00,2013-01-22 22:00:00,2013-01-22 21:00:00,16.04671,74.99291
60,2013-04-10 10:00:00,2013-04-10 11:00:00,2013-04-10 10:00:00,16.46193,74.69952
61,2013-08-20 20:00:00,2013-08-20 21:00:00,2013-08-20 20:00:00,16.43871,76.91636
62,2013-05-24 23:00:00,2013-05-24 23:00:00,2013-05-24 23:00:00,16.93972,76.9959
63,2013-04-02 01:00:00,2013-04-02 02:00:00,2013-04-02 01:00:00,16.74429,76.64493
64,2013-12-15 21:00:00,2013-12-15 22:00:00,2013-12-15 21:00:00,16.78393,76.86992
65,2013-08-12 08:00:00,2013-08-12 09:00:00,2013-08-12 08:00:00,16.41549,77.05123
66,2013-11-12 10:00:00,2013-11-12 11:00:00,2013-11-12 10:00:00,16.4059,77.265
67,2013-05-23 07:00:00,2013-05-23 08:00:00,2013-05-23 07:00:00,16.15313,77.14479
68,2013-04-26 10:00:00,2013-04-26 11:00:00,2013-04-26 10:00:00,16.84097,77.18382
69,2013-02-05 20:00:00,2013-02-05 21:00:00,2013-02-05 20:00:00,16.88514,76.92755
70,2013-02-09 21:00:00,2013-02-09 22:00:00,2013-02-09 21:00:00,16.7917,77.34502
71,2013-11-25 05:00:00,2013-11-25 06:00:00,2013-11-25 05:00:00,16.45344,76.85946
72,2013-12-11 11:00:00,2013-12-11 12:00:00,2013-12-11 11:00:00,16.62766,76.65101
73,2013-03-27 22:00:00,2013-03-27 23:00:00,2013-03-27 22:00:00,16.56092,77.15287
74,2013-07-05 20:00:00,2013-07-05 21:00:00,2013-07-05 20:00:00,16.84993,76.79348
75,2013-03-04 17:00:00,2013-03-04 18:00:00,2013-03-04 17:00:00,16.43532,77.14327
76,2013-10-11 08:00:00,2013-10-11 09:00:00,2013-10-11 08:00:00,16.9146,77.38404
77,2013-11-26 11:00:00,2013-11-26 12:00:00,2013-11-26 11:00:00,16.86623,76.93043
78,2013-07-23 14:00:00,2013-07-23 15:00:00,2013-07-23 14:00:00,16.71311,77.14818
79,2013-05-20 20:00:00,2013-05-20 21:00:00,2013-05-20 20:00:00,16.25925,77.00705
80,2013-09-13 17:00:00,2013-09-13 18:00:00,2013-09-13 17:00:00,16.78626,76.86954
81,2013-08-09 20:00:00,2013-08-09 21:00:00,2013-08-09 20:00:00,16.19524,75.71946
82,2013-04-01 15:00:00,2013-04-01 16:00:00,2013-04-01 15:00:00,16.15979,75.76322
83,2013-12-04 19:00:00,2013-12-04 20:00:00,2013-12-04 19:00:00,15.92298,75.35521
84,2013-04-19 21:00:00,2013-04-19 22:00:00,2013-04-19 21:00:00,16.07433,75.62433
85,2013-12-07 20:00:00,2013-12-07 21:00:00,2013-12-07 20:00:00,16.1248,75.62322
86,2013-07-17 23:00:00,2013-07-17 23:00:00,2013-07-17 23:00:00,16.47702,75.96478
87,2013-11-14 01:00:00,2013-11-14 02:00:00,2013-11-14 01:00:00,15.88601,75.3981
88,2013-05-08 08:00:00,2013-05-08 09:00:00,2013-05-08 08:00:00,16.27195,75.40861
89,2013-07-18 17:00:00,2013-07-18 18:00:00,2013-07-18 17:00:00,15.7394,75.65802
90,2013-02-15 12:00:00,2013-02-15 13:00:00,2013-02-15 12:00:00,16.20812,75.58847
91,2013-01-07 11:00:00,2013-01-07 12:00:00,2013-01-07 11:00:00,16.54555,75.48878
92,2013-08-15 16:00:00,2013-08-15 17:00:00,2013-08-15 16:00:00,16.53525,75.90837
93,2013-07-19 12:00:00,2013-07-19 13:00:00,2013-07-19 12:00:00,16.26186,75.48327
94,2013-02-27 16:00:00,2013-02-27 17:00:00,2013-02-27 16:00:00,16.03401,75.40933
95,2013-05-01 11:00:00,2013-05-01 12:00:00,2013-05-01 11:00:00,15.92021,75.64278
96,2013-02-21 20:00:00,2013-02-21 21:00:00,2013-02-21 20:00:00,16.39922,75.63411
97,2013-04-07 21:00:00,2013-04-07 22:00:00,2013-04-07 21:00:00,16.36761,75.50343
98,2013-10-08 11:00:00,2013-10-08 12:00:00,2013-10-08 11:00:00,15.88332,75.51954
99,2013-05-26 01:00:00,2013-05-26 02:00:00,2013-05-26 01:00:00,16.35337,75.63758
