ArrestSurrenderID,AccusedMasterID
1,2
2,3
3,4
4,5
5,7
6,10
7,16
8,18
9,19
10,22
11,23
12,27
13,28
14,32
15,33
16,34
17,35
18,36
19,38
20,39
21,40
22,42
23,43
24,52
25,53
26,54
27,55
28,58
29,59
30,62
31,67
32,68
33,71
34,72
35,73
36,77
37,78
38,83
39,85
40,86
41,87
42,88
43,92
44,97
45,111
46,113
47,116
48,117
49,118
50,119
51,120
52,121
53,129
54,131
55,132
56,135
57,138
58,145
59,150
60,151
61,152
62,153
63,154
64,157
65,158
66,159
67,160
68,161
69,162
70,164
71,165
72,170
73,171
74,172
75,173
76,174
77,180
78,181
79,182
80,185
81,189
82,191
83,197
84,198
85,203
86,204
87,212
88,213
89,216
90,217
91,219
92,220
93,226
94,227
95,228
96,229
97,230
98,231
99,232
100,233
101,235
102,236
103,240
104,241
105,242
106,243
107,249
108,250
109,251
110,254
111,255
112,256
113,257
114,260
115,261
116,262
117,263
118,268
119,269
120,271
121,272
122,273
123,274
124,279
125,280
126,281
127,286
128,289
129,297
130,302
131,303
132,311
133,312
134,313
135,317
136,318
137,319
138,320
139,321
140,324
141,325
142,327
143,328
144,332
145,333
146,334
147,337
148,338
149,339
150,340
151,341
152,342
153,343
154,350
155,351
156,361
157,362
158,365
159,366
160,369
161,370
162,374
163,376
164,379
165,384
166,387
167,388
168,389
169,393
170,394
171,397
172,399
173,400
174,404
175,405
176,406
177,407
178,408
179,423
180,424
181,432
182,435
183,436
184,437
185,438
186,439
187,441
188,444
189,445
190,446
191,447
192,448
193,449
194,450
195,451
196,452
197,467
198,469
199,470
200,471
201,474
202,475
203,478
204,483
205,490
206,491
207,492
208,496
209,497
210,498
211,507
212,508
213,512
214,514
215,518
216,519
217,521
218,524
219,525
220,526
221,531
222,538
223,539
224,545
225,546
226,547
227,548
228,549
229,551
230,552
231,553
232,554
233,555
234,556
235,561
236,562
237,566
238,567
239,573
240,577
241,580
242,583
243,584
244,585
245,586
246,588
247,589
248,590
249,594
250,595
251,596
252,597
253,598
254,601
255,604
256,610
257,611
258,620
259,621
260,625
261,626
262,629
263,630
264,631
265,633
266,634
267,635
268,636
269,637
270,640
271,641
272,644
273,645
274,646
275,647
276,655
277,656
278,664
279,668
280,670
281,671
282,672
283,673
284,674
285,675
286,676
287,677
288,678
289,679
290,682
291,683
292,684
293,685
294,686
295,689
296,690
297,691
298,692
299,693
300,698
301,699
302,704
303,705
304,707
305,708
306,712
307,713
308,714
309,715
310,722
311,727
312,728
313,729
314,735
315,736
316,739
317,744
318,745
319,746
320,748
321,755
322,759
323,764
324,765
325,770
326,771
327,772
328,773
329,774
330,775
331,776
332,780
333,781
334,782
335,785
336,786
337,788
338,789
339,796
340,799
341,800
342,807
343,812
344,818
345,819
346,820
347,821
348,823
349,824
350,828
351,829
352,830
353,831
354,832
355,833
356,834
357,843
358,844
359,847
360,849
361,852
362,853
363,854
364,859
365,860
366,861
367,864
368,865
369,866
370,867
371,879
372,880
373,881
374,887
375,890
376,891
377,892
378,897
379,898
380,899
381,900
382,901
383,902
384,905
385,906
386,907
387,908
388,913
389,914
390,915
